[11] : 272 => [52, 24] : 209 : 0.9448529411764706 : 44.512067267098224
[63] : 334 => [52, 24] : 209 : 0.7724550898203593 : 36.3903962410108
[75] : 287 => [79] : 287 : 1.0 : 34.30662020905923
[79] : 287 => [75] : 287 : 1.0 : 34.30662020905923
[75] : 287 => [83] : 287 : 1.0 : 34.30662020905923
[83] : 287 => [75] : 287 : 1.0 : 34.30662020905923
[75] : 287 => [84] : 287 : 1.0 : 34.30662020905923
[84] : 287 => [75] : 287 : 1.0 : 34.30662020905923
[79] : 287 => [83] : 287 : 1.0 : 34.30662020905923
[83] : 287 => [79] : 287 : 1.0 : 34.30662020905923
[79] : 287 => [84] : 287 : 1.0 : 34.30662020905923
[84] : 287 => [79] : 287 : 1.0 : 34.30662020905923
[83] : 287 => [84] : 287 : 1.0 : 34.30662020905923
[84] : 287 => [83] : 287 : 1.0 : 34.30662020905923
[75] : 287 => [83, 79] : 287 : 1.0 : 34.30662020905923
[79] : 287 => [83, 75] : 287 : 1.0 : 34.30662020905923
[83] : 287 => [75, 79] : 287 : 1.0 : 34.30662020905923
[75, 79] : 287 => [83] : 287 : 1.0 : 34.30662020905923
[83, 75] : 287 => [79] : 287 : 1.0 : 34.30662020905923
[83, 79] : 287 => [75] : 287 : 1.0 : 34.30662020905923
[75] : 287 => [84, 79] : 287 : 1.0 : 34.30662020905923
[79] : 287 => [84, 75] : 287 : 1.0 : 34.30662020905923
[84] : 287 => [75, 79] : 287 : 1.0 : 34.30662020905923
[75, 79] : 287 => [84] : 287 : 1.0 : 34.30662020905923
[84, 75] : 287 => [79] : 287 : 1.0 : 34.30662020905923
[84, 79] : 287 => [75] : 287 : 1.0 : 34.30662020905923
[75] : 287 => [82, 79] : 287 : 1.0 : 34.30662020905923
[79] : 287 => [82, 75] : 287 : 1.0 : 34.30662020905923
[82, 75] : 287 => [79] : 287 : 1.0 : 34.30662020905923
[82, 79] : 287 => [75] : 287 : 1.0 : 34.30662020905923
[75] : 287 => [78, 79] : 287 : 1.0 : 34.30662020905923
[79] : 287 => [75, 78] : 287 : 1.0 : 34.30662020905923
[75, 78] : 287 => [79] : 287 : 1.0 : 34.30662020905923
[78, 79] : 287 => [75] : 287 : 1.0 : 34.30662020905923
[75] : 287 => [81, 79] : 287 : 1.0 : 34.30662020905923
[79] : 287 => [81, 75] : 287 : 1.0 : 34.30662020905923
[81, 75] : 287 => [79] : 287 : 1.0 : 34.30662020905923
[81, 79] : 287 => [75] : 287 : 1.0 : 34.30662020905923
[75] : 287 => [77, 79] : 287 : 1.0 : 34.30662020905923
[79] : 287 => [75, 77] : 287 : 1.0 : 34.30662020905923
[75, 77] : 287 => [79] : 287 : 1.0 : 34.30662020905923
[77, 79] : 287 => [75] : 287 : 1.0 : 34.30662020905923
[75] : 287 => [80, 79] : 287 : 1.0 : 34.30662020905923
[79] : 287 => [80, 75] : 287 : 1.0 : 34.30662020905923
[80, 75] : 287 => [79] : 287 : 1.0 : 34.30662020905923
[80, 79] : 287 => [75] : 287 : 1.0 : 34.30662020905923
[75] : 287 => [20, 79] : 287 : 1.0 : 34.30662020905923
[79] : 287 => [20, 75] : 287 : 1.0 : 34.30662020905923
[20, 75] : 287 => [79] : 287 : 1.0 : 34.30662020905923
[20, 79] : 287 => [75] : 287 : 1.0 : 34.30662020905923
[75] : 287 => [76, 79] : 287 : 1.0 : 34.30662020905923
[79] : 287 => [75, 76] : 287 : 1.0 : 34.30662020905923
[75, 76] : 287 => [79] : 287 : 1.0 : 34.30662020905923
[76, 79] : 287 => [75] : 287 : 1.0 : 34.30662020905923
[75] : 287 => [24, 79] : 287 : 1.0 : 34.30662020905923
[79] : 287 => [24, 75] : 287 : 1.0 : 34.30662020905923
[24, 75] : 287 => [79] : 287 : 1.0 : 34.30662020905923
[24, 79] : 287 => [75] : 287 : 1.0 : 34.30662020905923
[75] : 287 => [83, 84] : 287 : 1.0 : 34.30662020905923
[83] : 287 => [84, 75] : 287 : 1.0 : 34.30662020905923
[84] : 287 => [83, 75] : 287 : 1.0 : 34.30662020905923
[83, 75] : 287 => [84] : 287 : 1.0 : 34.30662020905923
[84, 75] : 287 => [83] : 287 : 1.0 : 34.30662020905923
[83, 84] : 287 => [75] : 287 : 1.0 : 34.30662020905923
[75] : 287 => [82, 83] : 287 : 1.0 : 34.30662020905923
[83] : 287 => [82, 75] : 287 : 1.0 : 34.30662020905923
[82, 75] : 287 => [83] : 287 : 1.0 : 34.30662020905923
[82, 83] : 287 => [75] : 287 : 1.0 : 34.30662020905923
[75] : 287 => [83, 78] : 287 : 1.0 : 34.30662020905923
[83] : 287 => [75, 78] : 287 : 1.0 : 34.30662020905923
[75, 78] : 287 => [83] : 287 : 1.0 : 34.30662020905923
[83, 78] : 287 => [75] : 287 : 1.0 : 34.30662020905923
[75] : 287 => [81, 83] : 287 : 1.0 : 34.30662020905923
[83] : 287 => [81, 75] : 287 : 1.0 : 34.30662020905923
[81, 75] : 287 => [83] : 287 : 1.0 : 34.30662020905923
[81, 83] : 287 => [75] : 287 : 1.0 : 34.30662020905923
[75] : 287 => [83, 77] : 287 : 1.0 : 34.30662020905923
[83] : 287 => [75, 77] : 287 : 1.0 : 34.30662020905923
[75, 77] : 287 => [83] : 287 : 1.0 : 34.30662020905923
[83, 77] : 287 => [75] : 287 : 1.0 : 34.30662020905923
[75] : 287 => [80, 83] : 287 : 1.0 : 34.30662020905923
[83] : 287 => [80, 75] : 287 : 1.0 : 34.30662020905923
[80, 75] : 287 => [83] : 287 : 1.0 : 34.30662020905923
[80, 83] : 287 => [75] : 287 : 1.0 : 34.30662020905923
[75] : 287 => [83, 20] : 287 : 1.0 : 34.30662020905923
[83] : 287 => [20, 75] : 287 : 1.0 : 34.30662020905923
[20, 75] : 287 => [83] : 287 : 1.0 : 34.30662020905923
[83, 20] : 287 => [75] : 287 : 1.0 : 34.30662020905923
[75] : 287 => [83, 76] : 287 : 1.0 : 34.30662020905923
